,State,Step,Susceptible,Infected,Removed,Dead,GDP Drop
94,California,94,14870000,135000,24400000,105000,0.008382687927106931
95,California,95,15025000,100000,24280000,105000,0.008261199696279286
96,California,96,15175000,110000,24120000,105000,0.008225765628954558
97,California,97,15265000,90000,24050000,105000,0.008159959503922919
98,California,98,15460000,75000,23870000,105000,0.008094153378891283
99,California,99,15690000,65000,23650000,105000,0.008038471273095283
0,Texas,0,18255000,845000,9880000,15000,0.040006897740990664
1,Texas,1,17760000,1325000,9895000,15000,0.03627521986549465
2,Texas,2,17275000,1815000,9890000,15000,0.03329539575788979
3,Texas,3,16785000,2295000,9900000,15000,0.030474219693050933
4,Texas,4,16310000,2765000,9905000,15000,0.028115192274530496
5,Texas,5,15865000,3190000,9925000,15000,0.02570098292809148
6,Texas,6,15385000,3635000,9960000,15000,0.023797206414899543
7,Texas,7,14990000,3990000,10000000,15000,0.02219693050525998
8,Texas,8,14570000,4360000,10050000,15000,0.020838075530264195
9,Texas,9,14140000,4710000,10130000,15000,0.01962407311605478
10,Texas,10,13725000,5050000,10205000,15000,0.01865838937747909
11,Texas,11,13410000,5240000,10330000,15000,0.017885842386618545
12,Texas,12,13040000,5445000,10495000,15000,0.017182272805656276
13,Texas,13,12715000,5615000,10650000,15000,0.016678737713398957
14,Texas,14,12450000,5655000,10875000,15000,0.016161407139161994
15,Texas,15,12140000,5670000,11170000,15000,0.0157682359027419
16,Texas,16,11905000,5540000,11530000,20000,0.015457837558199716
17,Texas,17,11685000,5375000,11915000,20000,0.015195723400586315
18,Texas,18,11440000,5160000,12375000,20000,0.0149818934299017
19,Texas,19,11190000,4865000,12920000,20000,0.014823245387135702
20,Texas,20,10990000,4635000,13350000,20000,0.0146645973443697
21,Texas,21,10755000,4310000,13910000,20000,0.014450767373685088
22,Texas,22,10535000,3955000,14485000,20000,0.014367994481807173
23,Texas,23,10365000,3575000,15035000,20000,0.014271426107949603
24,Texas,24,10120000,3160000,15695000,20000,0.014216244180030993
25,Texas,25,9935000,2820000,16220000,20000,0.014140369029142901
26,Texas,26,9815000,2465000,16695000,20000,0.014119675806173423
27,Texas,27,9670000,2115000,17190000,20000,0.014085187101224294
28,Texas,28,9560000,1725000,17690000,20000,0.01407139161924464
29,Texas,29,9440000,1455000,18070000,30000,0.014057596137264986
30,Texas,30,9350000,1180000,18430000,35000,0.014050698396275162
31,Texas,31,9270000,890000,18800000,35000,0.014043800655285335
32,Texas,32,9160000,715000,19085000,35000,0.014043800655285335
33,Texas,33,9065000,520000,19375000,35000,0.014043800655285335
34,Texas,34,8985000,425000,19550000,35000,0.014023107432315857
35,Texas,35,8925000,300000,19730000,40000,0.014002414209346378
36,Texas,36,8810000,255000,19890000,40000,0.013967925504397249
37,Texas,37,8725000,170000,20060000,40000,0.013940334540437947
38,Texas,38,8665000,105000,20180000,45000,0.013940334540437947
39,Texas,39,8585000,110000,20255000,45000,0.013940334540437947
40,Texas,40,8535000,90000,20325000,45000,0.013940334540437947
41,Texas,41,8480000,60000,20410000,45000,0.013933436799448121
42,Texas,42,8410000,55000,20485000,45000,0.013933436799448121
43,Texas,43,8385000,25000,20540000,45000,0.013926539058458294
44,Texas,44,8325000,65000,20560000,45000,0.013926539058458294
45,Texas,45,8265000,45000,20640000,45000,0.013912743576478643
46,Texas,46,8265000,30000,20655000,45000,0.013912743576478643
47,Texas,47,8205000,60000,20685000,45000,0.013905845835488817
48,Texas,48,8125000,55000,20770000,45000,0.013878254871529511
49,Texas,49,8085000,30000,20835000,45000,0.013871357130539684
50,Texas,50,8060000,10000,20880000,45000,0.013857561648560033
51,Texas,51,8090000,5000,20855000,45000,0.013850663907570206
52,Texas,52,8055000,25000,20870000,45000,0.013816175202621076
53,Texas,53,8025000,35000,20890000,45000,0.01378858423866177
54,Texas,54,8050000,10000,20890000,45000,0.013767891015692292
55,Texas,55,8035000,15000,20900000,45000,0.013747197792722812
56,Texas,56,8035000,15000,20900000,45000,0.013719606828763505
57,Texas,57,8030000,45000,20875000,45000,0.01371270908777368
58,Texas,58,8060000,5000,20885000,45000,0.013698913605794026
59,Texas,59,8075000,10000,20865000,45000,0.013671322641834724
60,Texas,60,8050000,25000,20875000,45000,0.013657527159855073
61,Texas,61,8060000,25000,20865000,45000,0.01364373167787542
62,Texas,62,8110000,15000,20825000,45000,0.013629936195895769
63,Texas,63,8135000,15000,20800000,45000,0.013595447490946634
64,Texas,64,8145000,30000,20775000,45000,0.013554061045007676
65,Texas,65,8145000,35000,20770000,45000,0.013547163304017852
66,Texas,66,8190000,10000,20750000,45000,0.013512674599068719
67,Texas,67,8265000,40000,20645000,45000,0.013478185894119591
68,Texas,68,8340000,20000,20590000,45000,0.013436799448180638
69,Texas,69,8390000,30000,20530000,45000,0.013395413002241684
70,Texas,70,8390000,35000,20520000,50000,0.013319537851353595
71,Texas,71,8420000,45000,20480000,50000,0.013236764959475684
72,Texas,72,8455000,20000,20470000,50000,0.013167787549577422
73,Texas,73,8530000,10000,20405000,50000,0.013098810139679161
74,Texas,74,8575000,25000,20345000,50000,0.013064321434730032
75,Texas,75,8630000,45000,20270000,50000,0.013022934988791075
76,Texas,76,8690000,55000,20200000,50000,0.01292636661493351
