,State,Step,Susceptible,Infected,Removed,Dead,GDP Drop
94,California,94,14270000,90000,25035000,115000,0.008595292331055313
95,California,95,14445000,105000,24845000,115000,0.008539610225259309
96,California,96,14615000,95000,24685000,115000,0.00843837003290294
97,California,97,14785000,80000,24530000,115000,0.008362439888635661
98,California,98,14980000,110000,24305000,115000,0.00829663376360402
99,California,99,15080000,105000,24210000,115000,0.008220703619336744
0,Texas,0,18400000,830000,9755000,10000,0.04024142093464481
1,Texas,1,17860000,1375000,9750000,10000,0.03697878944645698
2,Texas,2,17405000,1830000,9750000,10000,0.03364718054837088
3,Texas,3,16910000,2320000,9755000,10000,0.030894981893430314
4,Texas,4,16420000,2795000,9770000,10000,0.028370408691154002
5,Texas,5,15880000,3325000,9780000,10000,0.02619762027935888
6,Texas,6,15415000,3770000,9800000,10000,0.024169684428350127
7,Texas,7,15050000,4085000,9850000,10000,0.022555613036730857
8,Texas,8,14605000,4485000,9895000,10000,0.021051905500948796
9,Texas,9,14200000,4845000,9940000,10000,0.01981720986376992
10,Texas,10,13800000,5140000,10045000,10000,0.018823935161234946
11,Texas,11,13475000,5315000,10195000,10000,0.018058285911364217
12,Texas,12,13110000,5545000,10330000,10000,0.017375409553371413
13,Texas,13,12835000,5585000,10565000,10000,0.01673391964131758
14,Texas,14,12480000,5705000,10795000,15000,0.01630625969994836
15,Texas,15,12195000,5685000,11100000,15000,0.015940679427487555
16,Texas,16,11965000,5580000,11425000,25000,0.015513019486118324
17,Texas,17,11685000,5440000,11840000,30000,0.015216416623555797
18,Texas,18,11400000,5215000,12345000,35000,0.014926711501983101
19,Texas,19,11200000,4980000,12780000,35000,0.014774961200206918
20,Texas,20,10980000,4635000,13345000,35000,0.014588722193481616
21,Texas,21,10815000,4260000,13885000,35000,0.014478358337644399
22,Texas,22,10645000,3860000,14455000,35000,0.01438178996378683
23,Texas,23,10480000,3425000,15055000,35000,0.014326608035868223
24,Texas,24,10290000,2965000,15705000,35000,0.01424383514399031
25,Texas,25,10095000,2590000,16265000,45000,0.014202448698051354
26,Texas,26,9845000,2325000,16780000,45000,0.014181755475081876
27,Texas,27,9720000,1965000,17265000,45000,0.014161062252112397
28,Texas,28,9625000,1640000,17675000,55000,0.01415416451112257
29,Texas,29,9495000,1310000,18135000,55000,0.014133471288153095
30,Texas,30,9405000,1030000,18505000,55000,0.01411967580617344
31,Texas,31,9255000,875000,18810000,55000,0.01411967580617344
32,Texas,32,9165000,595000,19180000,55000,0.01409898258320396
33,Texas,33,9065000,420000,19455000,55000,0.01409898258320396
34,Texas,34,8980000,350000,19610000,55000,0.014092084842214133
35,Texas,35,8900000,255000,19785000,55000,0.01408518710122431
36,Texas,36,8830000,235000,19875000,55000,0.01408518710122431
37,Texas,37,8760000,175000,20005000,55000,0.014071391619244656
38,Texas,38,8690000,115000,20135000,55000,0.014071391619244656
39,Texas,39,8655000,75000,20210000,55000,0.014071391619244656
40,Texas,40,8570000,90000,20280000,55000,0.014057596137265005
41,Texas,41,8480000,80000,20380000,55000,0.014043800655285354
42,Texas,42,8415000,60000,20465000,55000,0.014036902914295527
43,Texas,43,8365000,60000,20515000,55000,0.014023107432315874
44,Texas,44,8325000,55000,20560000,55000,0.01400931195033622
45,Texas,45,8280000,60000,20600000,55000,0.013988618727366741
46,Texas,46,8250000,25000,20665000,55000,0.01397482324538709
47,Texas,47,8235000,30000,20675000,55000,0.013961027763407439
48,Texas,48,8170000,30000,20740000,55000,0.013947232281427788
49,Texas,49,8195000,10000,20730000,60000,0.013933436799448133
50,Texas,50,8160000,35000,20740000,60000,0.013933436799448133
51,Texas,51,8140000,30000,20765000,60000,0.01390584583548883
52,Texas,52,8120000,30000,20785000,60000,0.013898948094499002
53,Texas,53,8105000,35000,20795000,60000,0.013878254871529523
54,Texas,54,8120000,20000,20795000,60000,0.013843766166580396
55,Texas,55,8120000,20000,20795000,60000,0.013816175202621088
56,Texas,56,8090000,25000,20815000,65000,0.013802379720641437
57,Texas,57,8065000,30000,20835000,65000,0.01378168649767196
58,Texas,58,8035000,20000,20875000,65000,0.013767891015692308
59,Texas,59,8060000,15000,20855000,65000,0.013740300051733005
60,Texas,60,8070000,10000,20850000,65000,0.01370581134678387
61,Texas,61,8095000,10000,20825000,65000,0.013678220382824565
62,Texas,62,8125000,30000,20775000,65000,0.013636833936885608
63,Texas,63,8125000,30000,20770000,70000,0.01361614071391613
64,Texas,64,8165000,35000,20725000,70000,0.013567856526987346
65,Texas,65,8225000,30000,20670000,70000,0.013512674599068736
66,Texas,66,8290000,25000,20610000,70000,0.01348508363510943
67,Texas,67,8315000,30000,20580000,70000,0.01343679944818065
68,Texas,68,8350000,25000,20550000,70000,0.013402310743231515
69,Texas,69,8375000,35000,20515000,70000,0.013367822038282386
70,Texas,70,8410000,10000,20505000,70000,0.01334023107432308
71,Texas,71,8460000,20000,20445000,70000,0.013312640110363773
72,Texas,72,8500000,30000,20395000,70000,0.013257458182445165
73,Texas,73,8530000,35000,20360000,70000,0.013222969477496033
74,Texas,74,8585000,15000,20325000,70000,0.013147094326607949
75,Texas,75,8630000,25000,20270000,70000,0.013112605621658818
76,Texas,76,8710000,50000,20165000,70000,0.013036730470770728
77,Texas,77,8740000,65000,20120000,70000,0.013002241765821598
78,Texas,78,8770000,35000,20120000,70000,0.012960855319882645
79,Texas,79,8825000,65000,20035000,70000,0.012912571132953861
80,Texas,80,8875000,60000,19990000,70000,0.01282979824107595
81,Texas,81,9000000,55000,19870000,70000,0.012781514054147165
82,Texas,82,9070000,40000,19815000,70000,0.012664252457320127
83,Texas,83,9160000,55000,19710000,70000,0.012553888601482913
84,Texas,84,9250000,20000,19655000,70000,0.012464217968615165
85,Texas,85,9355000,60000,19510000,70000,0.012374547335747426
86,Texas,86,9395000,50000,19480000,70000,0.012298672184859335
87,Texas,87,9540000,45000,19340000,70000,0.012243490256940725
88,Texas,88,9530000,95000,19300000,70000,0.012188308329022114
89,Texas,89,9645000,70000,19210000,70000,0.012098637696154371
90,Texas,90,9765000,55000,19105000,70000,0.01205035350922559
91,Texas,91,9865000,35000,19025000,70000,0.012008967063286633
92,Texas,92,9995000,60000,18870000,70000,0.0119468873943782
93,Texas,93,10095000,70000,18760000,70000,0.011808932574581679
94,Texas,94,10190000,95000,18640000,70000,0.011691670977754637
95,Texas,95,10280000,50000,18595000,70000,0.011526125193998807
96,Texas,96,10430000,80000,18410000,75000,0.011436454561131064
97,Texas,97,10550000,35000,18335000,75000,0.01133298844628367
98,Texas,98,10655000,100000,18165000,75000,0.011229522331436276
99,Texas,99,10745000,110000,18065000,75000,0.01115364718054819
0,Florida,0,12625000,230000,8600000,20000,0.039441210710128745
1,Florida,1,12245000,615000,8595000,20000,0.03624679860302736
2,Florida,2,11800000,1060000,8595000,20000,0.033369033760186725
3,Florida,3,11490000,1365000,8600000,20000,0.030947613504074913
4,Florida,4,11135000,1715000,8605000,20000,0.028405122235157534
5,Florida,5,10805000,2030000,8620000,20000,0.026328288707800063
6,Florida,6,10525000,2305000,8625000,20000,0.024651920838184155
7,Florida,7,10200000,2615000,8640000,20000,0.023152502910361042
8,Florida,8,9915000,2840000,8700000,20000,0.02194179278230509
9,Florida,9,9705000,3015000,8735000,20000,0.020721769499417956
10,Florida,10,9440000,3185000,8830000,20000,0.019892898719441183
11,Florida,11,9170000,3330000,8955000,20000,0.019194412107101218
12,Florida,12,8925000,3500000,9030000,20000,0.018682188591385235
13,Florida,13,8730000,3580000,9145000,20000,0.018207217694994057
14,Florida,14,8510000,3655000,9285000,25000,0.017778812572758887
15,Florida,15,8290000,3670000,9490000,25000,0.01733178114086131
16,Florida,16,8145000,3585000,9715000,30000,0.017080325960418925
17,Florida,17,7980000,3485000,9980000,30000,0.016828870779976534
18,Florida,18,7825000,3375000,10240000,35000,0.016651920838183745
19,Florida,19,7680000,3190000,10570000,35000,0.016521536670546955
20,Florida,20,7540000,2970000,10925000,40000,0.016409778812572565
21,Florida,21,7375000,2765000,11285000,50000,0.01630733410942937
22,Florida,22,7250000,2505000,11670000,50000,0.016242142025610973
23,Florida,23,7155000,2235000,12035000,50000,0.016139697322467776
24,Florida,24,7075000,2015000,12335000,50000,0.016102444703142982
25,Florida,25,6970000,1780000,12670000,55000,0.016046565774155783
26,Florida,26,6915000,1475000,13030000,55000,0.015981373690337388
27,Florida,27,6820000,1290000,13305000,60000,0.01596274738067499
28,Florida,28,6755000,1095000,13565000,60000,0.01593480791618139
29,Florida,29,6695000,840000,13875000,65000,0.015869615832362998
30,Florida,30,6605000,715000,14090000,65000,0.0158416763678694
31,Florida,31,6530000,580000,14300000,65000,0.015813736903375803
32,Florida,32,6465000,500000,14445000,65000,0.015795110593713406
33,Florida,33,6370000,345000,14695000,65000,0.01577648428405101
34,Florida,34,6295000,260000,14855000,65000,0.01577648428405101
35,Florida,35,6245000,185000,14980000,65000,0.01576717112921981
36,Florida,36,6195000,155000,15060000,65000,0.015739231664726214
37,Florida,37,6175000,100000,15135000,65000,0.015739231664726214
38,Florida,38,6095000,90000,15220000,70000,0.015729918509895014
39,Florida,39,6040000,80000,15285000,70000,0.015711292200232613
40,Florida,40,5990000,65000,15350000,70000,0.015701979045401417
41,Florida,41,5955000,40000,15410000,70000,0.015692665890570216
42,Florida,42,5920000,35000,15450000,70000,0.01568335273573902
43,Florida,43,5905000,20000,15480000,70000,0.01567403958090782
44,Florida,44,5855000,30000,15520000,70000,0.01566472642607662
45,Florida,45,5835000,30000,15540000,70000,0.01566472642607662
46,Florida,46,5830000,15000,15560000,70000,0.01564610011641422
47,Florida,47,5830000,25000,15550000,70000,0.015627473806751824
48,Florida,48,5810000,20000,15575000,70000,0.015608847497089422
49,Florida,49,5765000,25000,15615000,70000,0.015608847497089422
50,Florida,50,5720000,15000,15670000,70000,0.015599534342258225
51,Florida,51,5710000,30000,15665000,70000,0.015599534342258225
52,Florida,52,5710000,5000,15690000,70000,0.015599534342258225
53,Florida,53,5695000,20000,15690000,70000,0.015562281722933422
54,Florida,54,5715000,10000,15680000,70000,0.015515715948777428
55,Florida,55,5720000,10000,15675000,70000,0.015506402793946229
56,Florida,56,5710000,20000,15675000,70000,0.015497089639115029
57,Florida,57,5720000,20000,15665000,70000,0.015450523864959027
58,Florida,58,5710000,15000,15680000,70000,0.015431897555296625
59,Florida,59,5715000,20000,15670000,70000,0.015366705471478231
60,Florida,60,5725000,25000,15655000,70000,0.015329452852153433
61,Florida,61,5760000,10000,15635000,70000,0.015282887077997437
62,Florida,62,5790000,15000,15600000,70000,0.015264260768335036
63,Florida,63,5810000,20000,15575000,70000,0.015208381839347836
64,Florida,64,5820000,25000,15560000,70000,0.01516181606519184
65,Florida,65,5825000,20000,15560000,70000,0.01515250291036064
66,Florida,66,5835000,10000,15560000,70000,0.015096623981373446
67,Florida,67,5885000,20000,15500000,70000,0.015050058207217446
68,Florida,68,5920000,25000,15460000,70000,0.015003492433061451
69,Florida,69,5935000,20000,15450000,70000,0.014975552968567852
70,Florida,70,5990000,10000,15405000,70000,0.014901047729918258
71,Florida,71,5985000,30000,15390000,70000,0.014873108265424663
72,Florida,72,6025000,30000,15350000,70000,0.014807916181606269
73,Florida,73,6075000,15000,15315000,70000,0.014733410942956679
74,Florida,74,6060000,50000,15295000,70000,0.014705471478463083
75,Florida,75,6140000,15000,15250000,70000,0.014658905704307088
76,Florida,76,6180000,30000,15195000,70000,0.014621653084982292
77,Florida,77,6225000,40000,15140000,70000,0.014519208381839104
78,Florida,78,6275000,10000,15120000,70000,0.014398137369033519
79,Florida,79,6285000,35000,15085000,70000,0.014351571594877524
80,Florida,80,6330000,25000,15050000,70000,0.014286379511059133
81,Florida,81,6350000,45000,15010000,70000,0.014258440046565537
82,Florida,82,6440000,25000,14940000,70000,0.014183934807915943
83,Florida,83,6500000,40000,14865000,70000,0.014072176949941558
84,Florida,84,6585000,20000,14800000,70000,0.014006984866123165
85,Florida,85,6635000,15000,14755000,70000,0.013941792782304773
86,Florida,86,6730000,15000,14660000,70000,0.013857974388823984
87,Florida,87,6815000,40000,14550000,70000,0.013764842840511994
88,Florida,88,6880000,35000,14490000,70000,0.01364377182770641
89,Florida,89,6970000,40000,14395000,70000,0.013532013969732023
90,Florida,90,7045000,50000,14310000,70000,0.013364377182770441
91,Florida,91,7125000,65000,14215000,70000,0.013206053550640062
92,Florida,92,7160000,55000,14190000,70000,0.013122235157159273
93,Florida,93,7260000,25000,14120000,70000,0.013001164144353688
94,Florida,94,7320000,45000,14040000,70000,0.012935972060535296
95,Florida,95,7430000,50000,13925000,70000,0.012852153667054505
96,Florida,96,7505000,50000,13850000,70000,0.012740395809080119
97,Florida,97,7555000,50000,13800000,70000,0.012637951105936933
98,Florida,98,7605000,30000,13770000,70000,0.012535506402793745
99,Florida,99,7705000,35000,13665000,70000,0.012423748544819358
